Episode,Steps
0,47
1,51
2,40
3,57
4,51
5,48
6,51
7,54
8,42
9,53
10,44
11,32
12,44
13,56
14,52
15,44
16,54
17,77
18,58
19,52
20,54
21,47
22,76
23,70
24,70
25,61
26,63
27,84
28,74
29,86
30,73
31,82
32,63
33,67
34,62
35,75
36,71
37,88
38,71
39,47
40,59
41,57
42,66
43,80
44,62
45,57
46,49
47,69
48,52
49,68
50,67
51,74
52,59
53,57
54,94
55,97
56,80
57,79
58,80
59,71
60,64
61,67
62,75
63,73
64,81
65,76
66,74
67,96
68,85
69,81
70,73
71,83
72,69
73,70
74,55
75,67
76,97
77,62
78,65
79,59
80,59
81,71
82,68
83,56
84,67
85,80
86,78
87,78
88,66
89,66
90,59
91,64
92,66
93,55
94,72
95,75
96,97
97,59
98,59
99,69
100,64
101,54
102,67
103,66
104,64
105,64
106,66
107,59
108,63
109,60
110,73
111,65
112,59
113,84
114,93
115,99
116,78
117,60
118,82
119,93
120,73
121,66
122,57
123,64
124,62
125,67
126,63
127,59
128,75
129,74
130,62
131,67
132,69
133,76
134,67
135,60
136,59
137,58
138,65
139,63
140,58
141,50
142,75
143,73
144,65
145,52
146,62
147,57
148,51
149,63
150,55
151,67
152,64
153,65
154,65
155,76
156,71
157,73
158,62
159,79
160,71
161,61
162,69
163,78
164,63
165,74
166,68
167,60
168,77
169,64
170,68
171,55
172,68
173,68
174,47
175,64
176,73
177,65
178,65
179,62
180,71
181,71
182,67
183,76
184,75
185,68
186,80
187,64
188,66
189,51
190,61
191,63
192,65
193,78
194,53
195,54
196,57
197,69
198,73
199,60
200,73
201,74
202,69
203,74
204,69
205,54
206,56
207,67
208,68
209,65
210,54
211,57
212,59
213,52
214,54
215,50
216,65
217,66
218,75
219,74
220,70
221,70
222,75
223,61
224,87
225,70
226,68
227,53
228,57
229,44
230,37
231,57
232,52
233,56
234,58
235,48
236,57
237,52
238,70
239,60
240,61
241,68
242,59
243,56
244,68
245,71
246,67
247,63
248,63
249,63
250,61
251,74
252,61
253,64
254,78
255,62
256,66
257,49
258,54
259,69
260,72
261,64
262,56
263,51
264,62
265,53
266,67
267,75
268,60
269,57
270,59
271,55
272,71
273,58
