Episode,Reward
0,1061.0
1,700.0
2,1449.0
3,1724.0
4,702.0
5,1559.0
6,637.0
7,1449.0
8,1555.0
9,496.0
10,947.0
11,210.0
12,1617.0
13,1556.0
14,1632.0
15,1827.0
16,323.0
17,680.0
18,811.0
19,849.0
20,680.0
21,175.0
22,2761.0
23,840.0
24,1149.0
25,1832.0
26,1051.0
27,2457.0
28,1407.0
29,1071.0
30,811.0
31,1187.0
32,966.0
33,1281.0
34,1323.0
35,820.0
36,639.0
37,1016.0
38,255.0
39,840.0
40,661.0
41,1156.0
42,1170.0
43,1302.0
44,447.0
45,1302.0
46,1186.0
47,571.0
48,1726.0
49,1029.0
50,1291.0
51,1286.0
52,2899.0
53,964.0
54,845.0
55,1303.0
56,1753.0
57,1421.0
58,672.0
59,508.0
60,513.0
61,1470.0
62,883.0
63,676.0
64,966.0
65,841.0
66,721.0
67,1306.0
68,400.0
69,1013.0
70,1181.0
71,1420.0
72,1432.0
73,388.0
74,1359.0
75,1071.0
76,903.0
77,1221.0
78,357.0
79,1061.0
80,231.0
81,1207.0
82,756.0
83,945.0
84,1006.0
85,424.0
86,2353.0
87,730.0
88,591.0
89,1114.0
90,242.0
91,1383.0
92,639.0
93,724.0
94,1516.0
95,1143.0
96,985.0
97,1055.0
98,357.0
99,1264.0
100,1090.0
101,924.0
102,644.0
103,752.0
104,1894.0
105,1051.0
106,1325.0
107,1480.0
108,1243.0
109,1152.0
110,1974.0
111,877.0
112,1036.0
113,790.0
114,620.0
115,1182.0
116,1243.0
117,867.0
118,1371.0
119,976.0
120,1153.0
121,819.0
122,567.0
123,203.0
124,865.0
125,1801.0
126,835.0
127,546.0
128,1163.0
129,703.0
130,1654.0
131,869.0
132,780.0
133,1383.0
134,777.0
135,1139.0
136,630.0
137,609.0
138,1259.0
139,1031.0
140,1349.0
141,952.0
142,629.0
143,868.0
144,236.0
145,588.0
146,1458.0
147,674.0
148,735.0
149,422.0
150,478.0
151,281.0
152,1533.0
153,1380.0
154,865.0
155,656.0
156,1029.0
157,1324.0
158,1239.0
159,1058.0
160,1218.0
161,651.0
162,634.0
163,1245.0
164,854.0
165,1743.0
166,1071.0
167,861.0
168,1162.0
169,1119.0
170,1139.0
171,588.0
172,1449.0
173,1113.0
174,1876.0
175,599.0
176,1096.0
177,842.0
178,1636.0
179,468.0
180,718.0
181,691.0
182,610.0
183,971.0
184,777.0
185,757.0
186,777.0
187,2100.0
188,553.0
189,168.0
190,1786.0
191,503.0
192,567.0
193,364.0
194,945.0
195,1515.0
196,961.0
197,861.0
198,1848.0
199,819.0
200,1197.0
201,408.0
202,1113.0
203,244.0
204,709.0
205,1925.0
206,1382.0
207,903.0
208,798.0
209,1365.0
210,902.0
211,1135.0
212,1315.0
213,1619.0
214,522.0
215,1352.0
216,1368.0
217,1377.0
218,953.0
219,1123.0
220,1322.0
221,2178.0
222,1396.0
223,588.0
224,1772.0
225,1911.0
226,1587.0
227,501.0
228,2124.0
229,588.0
230,840.0
231,1265.0
232,285.0
233,2012.0
234,257.0
235,2079.0
236,1093.0
237,1347.0
238,1764.0
239,882.0
240,1403.0
241,1407.0
242,1273.0
243,1788.0
244,945.0
245,361.0
246,1000.0
247,670.0
248,1632.0
249,611.0
250,1491.0
251,1680.0
252,378.0
253,656.0
254,672.0
255,1854.0
256,762.0
257,367.0
258,637.0
259,1806.0
260,2142.0
261,619.0
262,1224.0
263,1562.0
264,1115.0
265,1022.0
266,364.0
267,685.0
268,677.0
269,1785.0
270,538.0
271,924.0
272,1125.0
273,386.0
274,1036.0
275,2709.0
276,714.0
277,934.0
278,1167.0
279,578.0
280,1061.0
281,1364.0
282,633.0
283,1752.0
284,641.0
285,338.0
286,723.0
287,917.0
288,718.0
289,945.0
290,864.0
291,516.0
292,1554.0
293,406.0
294,857.0
295,1378.0
296,733.0
297,1059.0
298,609.0
299,698.0
300,652.0
301,819.0
302,981.0
303,1092.0
304,693.0
305,1470.0
306,637.0
307,1539.0
308,2037.0
309,1472.0
310,838.0
311,1573.0
312,949.0
313,840.0
314,636.0
315,1344.0
316,1832.0
317,798.0
318,1639.0
319,1914.0
320,630.0
321,1029.0
322,1877.0
323,923.0
324,1108.0
325,725.0
326,2037.0
327,1470.0
328,1202.0
329,1054.0
330,685.0
331,1428.0
332,2436.0
333,1239.0
334,930.0
335,295.0
336,339.0
337,1517.0
338,1293.0
339,999.0
340,513.0
341,783.0
342,1155.0
343,893.0
344,1081.0
345,924.0
346,1288.0
347,407.0
348,464.0
349,526.0
350,797.0
351,532.0
352,741.0
353,1803.0
354,468.0
355,819.0
356,672.0
357,840.0
358,574.0
359,588.0
360,1472.0
361,1110.0
362,590.0
363,1056.0
364,1517.0
365,719.0
366,630.0
367,418.0
368,943.0
369,588.0
370,1449.0
371,1245.0
372,301.0
373,845.0
374,1176.0
375,477.0
376,1750.0
377,882.0
378,798.0
379,1244.0
380,578.0
381,807.0
382,591.0
383,841.0
384,1728.0
385,1596.0
386,1360.0
387,756.0
388,1075.0
389,1246.0
390,1496.0
391,658.0
392,840.0
393,1428.0
394,1096.0
395,550.0
396,954.0
397,468.0
398,735.0
399,430.0
400,1798.0
401,1660.0
402,987.0
403,924.0
404,1638.0
405,1053.0
406,756.0
407,408.0
408,1405.0
409,588.0
410,210.0
411,1056.0
412,999.0
413,258.0
414,1280.0
415,2443.0
416,1113.0
417,543.0
418,666.0
419,1849.0
420,1323.0
421,1029.0
422,639.0
423,706.0
424,991.0
425,699.0
426,801.0
427,1591.0
428,468.0
429,589.0
430,1638.0
431,1617.0
432,1095.0
433,1596.0
434,511.0
435,574.0
436,291.0
437,945.0
438,1522.0
439,849.0
440,946.0
441,421.0
442,1998.0
443,1008.0
444,2428.0
445,1344.0
446,861.0
447,2336.0
448,1281.0
449,1202.0
450,1701.0
451,983.0
452,505.0
453,854.0
454,586.0
455,1165.0
456,840.0
457,924.0
458,648.0
459,1038.0
460,1155.0
461,740.0
462,2613.0
463,263.0
464,882.0
465,1139.0
466,835.0
467,649.0
468,912.0
469,345.0
470,336.0
471,1171.0
472,750.0
473,1264.0
474,697.0
475,976.0
476,1365.0
477,646.0
478,1142.0
479,634.0
480,168.0
481,674.0
482,1953.0
483,1575.0
484,428.0
485,378.0
486,1107.0
487,311.0
488,861.0
489,693.0
490,441.0
491,1134.0
492,930.0
493,1097.0
494,930.0
495,403.0
496,1554.0
497,468.0
498,420.0
499,1697.0
500,1671.0
501,371.0
502,1011.0
503,874.0
504,976.0
505,640.0
506,1247.0
507,860.0
508,1260.0
509,610.0
510,1932.0
511,950.0
512,2408.0
513,291.0
514,490.0
515,1008.0
516,2201.0
517,1577.0
518,685.0
519,995.0
520,577.0
521,823.0
522,873.0
523,935.0
524,1617.0
525,882.0
526,753.0
527,1563.0
528,1317.0
529,1155.0
530,1487.0
531,813.0
532,1216.0
533,1163.0
534,1018.0
535,825.0
536,1104.0
537,756.0
538,559.0
539,863.0
540,569.0
541,852.0
542,1260.0
543,1155.0
544,1008.0
545,1831.0
546,1346.0
547,695.0
548,840.0
549,637.0
550,318.0
551,666.0
552,1219.0
553,1284.0
554,2037.0
555,1064.0
556,1327.0
557,1059.0
558,405.0
559,315.0
560,1101.0
561,1818.0
562,1714.0
563,870.0
564,1638.0
565,1848.0
566,609.0
567,1223.0
568,840.0
569,1554.0
570,1046.0
571,1727.0
572,837.0
573,1625.0
574,387.0
575,1604.0
576,1279.0
577,1082.0
578,794.0
579,840.0
580,2163.0
581,537.0
582,1120.0
583,945.0
584,2450.0
585,361.0
586,1732.0
587,691.0
588,1660.0
589,987.0
590,392.0
591,985.0
592,1412.0
593,924.0
594,1263.0
595,808.0
596,615.0
597,1175.0
598,706.0
599,1638.0
600,1198.0
601,1012.0
602,536.0
603,1365.0
604,348.0
605,1134.0
606,1311.0
607,867.0
608,928.0
609,452.0
610,874.0
611,1340.0
612,669.0
613,772.0
614,1064.0
615,610.0
616,1268.0
617,651.0
618,1579.0
619,546.0
620,414.0
621,1422.0
622,1386.0
623,882.0
624,1015.0
625,993.0
626,788.0
627,1113.0
628,431.0
629,516.0
630,588.0
631,1509.0
632,453.0
633,993.0
634,480.0
635,1204.0
636,512.0
637,1533.0
638,1239.0
639,1575.0
640,508.0
641,609.0
642,1365.0
643,482.0
644,274.0
645,829.0
646,949.0
647,1149.0
648,1132.0
649,1362.0
650,306.0
651,1285.0
652,628.0
653,1435.0
654,1302.0
655,1330.0
656,1008.0
657,957.0
658,1533.0
659,1499.0
660,983.0
661,908.0
662,1575.0
663,971.0
664,903.0
665,1053.0
666,596.0
667,819.0
668,642.0
669,1177.0
670,284.0
671,845.0
672,1533.0
673,862.0
674,1386.0
675,282.0
676,775.0
677,1825.0
678,1575.0
679,1117.0
680,683.0
681,1467.0
682,945.0
683,1028.0
684,879.0
685,645.0
686,693.0
687,1138.0
688,584.0
689,896.0
690,1224.0
691,1373.0
692,778.0
693,1043.0
694,501.0
695,747.0
696,886.0
697,429.0
698,669.0
699,1659.0
700,672.0
701,1754.0
702,322.0
703,287.0
704,821.0
705,1596.0
706,1092.0
707,987.0
708,901.0
709,925.0
710,1607.0
711,778.0
712,1614.0
713,210.0
714,1455.0
715,1027.0
716,675.0
717,1480.0
718,1155.0
719,1516.0
720,597.0
721,600.0
722,655.0
723,301.0
724,528.0
725,1318.0
726,634.0
727,2397.0
728,333.0
729,1113.0
730,1475.0
731,245.0
732,1392.0
733,1288.0
734,344.0
735,427.0
736,1091.0
737,904.0
738,1368.0
739,1546.0
740,1386.0
741,905.0
742,181.0
743,684.0
744,843.0
745,1037.0
746,1193.0
747,806.0
748,926.0
749,941.0
750,1693.0
751,319.0
752,761.0
753,1472.0
754,1307.0
755,580.0
756,228.0
757,830.0
758,2059.0
759,993.0
760,770.0
761,766.0
762,1598.0
763,864.0
764,1023.0
765,1603.0
766,1110.0
767,1391.0
768,400.0
769,602.0
770,1378.0
771,1533.0
772,1001.0
773,668.0
774,1377.0
775,1244.0
776,981.0
777,1178.0
778,1344.0
779,1016.0
780,1158.0
781,1428.0
782,804.0
783,1019.0
784,559.0
785,1626.0
786,684.0
787,1276.0
788,1680.0
789,898.0
790,680.0
791,781.0
792,987.0
793,676.0
794,1092.0
795,730.0
796,1716.0
797,1239.0
798,787.0
799,1008.0
800,1268.0
801,634.0
802,1045.0
803,352.0
804,614.0
805,608.0
806,774.0
807,372.0
808,1094.0
809,900.0
810,675.0
811,663.0
812,748.0
813,1221.0
814,1107.0
815,470.0
816,658.0
817,882.0
818,1361.0
819,756.0
820,837.0
821,1537.0
822,1029.0
823,1008.0
824,631.0
825,888.0
826,1708.0
827,1556.0
828,968.0
829,1375.0
830,1185.0
831,1193.0
832,926.0
833,1034.0
834,425.0
835,1128.0
836,726.0
837,824.0
838,1294.0
839,759.0
840,231.0
841,861.0
842,1476.0
843,686.0
844,1053.0
845,1396.0
846,433.0
847,945.0
848,1351.0
849,962.0
850,1659.0
851,552.0
852,983.0
853,837.0
854,1135.0
855,663.0
856,840.0
857,1017.0
858,1341.0
859,1659.0
860,841.0
861,609.0
862,1226.0
863,829.0
864,1470.0
865,714.0
866,1328.0
867,849.0
868,1218.0
869,496.0
870,735.0
871,803.0
872,1308.0
873,1153.0
874,843.0
875,931.0
876,1458.0
877,777.0
878,1320.0
879,1523.0
880,868.0
881,294.0
882,1018.0
883,700.0
884,797.0
885,988.0
886,1806.0
887,601.0
888,582.0
889,1463.0
890,996.0
891,1050.0
892,1003.0
893,660.0
894,486.0
895,1189.0
896,2176.0
897,1615.0
898,1198.0
899,378.0
900,1115.0
901,631.0
902,1218.0
903,1218.0
904,1323.0
905,769.0
906,1098.0
907,966.0
908,622.0
909,845.0
910,1034.0
911,1061.0
912,1386.0
913,167.0
914,1936.0
915,1059.0
916,1323.0
917,702.0
918,2443.0
919,1008.0
920,781.0
921,504.0
922,749.0
923,1323.0
924,831.0
925,2003.0
926,553.0
927,764.0
928,682.0
929,1120.0
930,616.0
931,1324.0
932,1218.0
933,1290.0
934,1634.0
935,1344.0
936,1302.0
937,559.0
938,609.0
939,960.0
940,1178.0
941,532.0
942,924.0
943,475.0
944,914.0
945,933.0
946,945.0
947,795.0
948,931.0
949,504.0
950,719.0
951,1160.0
952,110.0
953,1264.0
954,892.0
955,863.0
956,804.0
957,313.0
958,2928.0
959,2268.0
960,1790.0
961,1432.0
962,697.0
963,1493.0
964,1344.0
965,807.0
966,1050.0
967,1019.0
968,723.0
969,1050.0
970,556.0
971,1218.0
972,851.0
973,815.0
974,693.0
975,1192.0
976,624.0
977,252.0
978,874.0
979,1365.0
980,489.0
981,1638.0
982,470.0
983,463.0
984,1083.0
985,675.0
986,1014.0
987,2079.0
988,1617.0
989,1023.0
990,294.0
991,213.0
992,990.0
993,1316.0
994,987.0
995,1149.0
996,2355.0
997,637.0
998,1076.0
999,1463.0
1000,524.0
1001,1575.0
1002,1407.0
1003,903.0
1004,1112.0
1005,1197.0
1006,1015.0
1007,819.0
1008,1796.0
1009,999.0
1010,505.0
1011,1694.0
1012,2290.0
1013,772.0
1014,1307.0
1015,978.0
1016,1809.0
1017,1079.0
1018,1162.0
1019,793.0
1020,891.0
1021,1394.0
1022,1228.0
1023,1584.0
1024,441.0
1025,769.0
1026,981.0
1027,1025.0
1028,1566.0
1029,1144.0
1030,682.0
1031,1471.0
1032,986.0
1033,1500.0
1034,929.0
1035,945.0
1036,553.0
1037,798.0
1038,1414.0
1039,384.0
1040,1564.0
1041,759.0
1042,1487.0
1043,474.0
1044,1147.0
1045,1092.0
1046,2004.0
1047,1764.0
1048,1084.0
1049,1113.0
1050,1904.0
1051,1285.0
1052,630.0
1053,1113.0
1054,630.0
1055,1746.0
1056,867.0
1057,1243.0
1058,1218.0
1059,945.0
1060,1073.0
1061,1701.0
1062,1114.0
1063,834.0
1064,1546.0
1065,1029.0
1066,1513.0
1067,1159.0
1068,651.0
1069,493.0
1070,675.0
1071,1669.0
1072,953.0
1073,2198.0
1074,1748.0
1075,2352.0
1076,676.0
1077,1844.0
1078,1365.0
1079,711.0
1080,1611.0
1081,651.0
1082,911.0
1083,861.0
1084,901.0
1085,1218.0
1086,911.0
1087,1061.0
1088,623.0
1089,1575.0
1090,671.0
1091,568.0
1092,462.0
1093,575.0
1094,1041.0
1095,586.0
1096,782.0
1097,681.0
1098,462.0
1099,843.0
1100,1637.0
1101,1281.0
1102,965.0
1103,1565.0
1104,298.0
1105,945.0
1106,2113.0
1107,912.0
1108,1329.0
1109,853.0
1110,1306.0
1111,390.0
1112,1026.0
1113,840.0
1114,1212.0
1115,1276.0
1116,1071.0
1117,911.0
1118,1533.0
1119,631.0
1120,674.0
1121,1588.0
1122,639.0
1123,527.0
1124,1580.0
1125,714.0
1126,786.0
1127,777.0
1128,1050.0
1129,1911.0
1130,943.0
1131,1097.0
1132,887.0
1133,915.0
1134,1218.0
1135,462.0
1136,864.0
1137,704.0
1138,1522.0
1139,1743.0
1140,1158.0
1141,609.0
1142,2079.0
1143,1197.0
1144,756.0
1145,1722.0
1146,1848.0
1147,1071.0
1148,1387.0
1149,407.0
1150,1030.0
1151,2520.0
1152,1680.0
1153,1322.0
1154,703.0
1155,642.0
1156,634.0
1157,74.0
1158,1722.0
1159,1470.0
1160,630.0
1161,497.0
1162,1008.0
1163,1014.0
1164,747.0
1165,1132.0
1166,1180.0
1167,1475.0
1168,1071.0
1169,1492.0
1170,858.0
1171,1252.0
1172,2709.0
1173,1285.0
1174,1618.0
1175,966.0
1176,970.0
1177,1624.0
1178,1449.0
1179,1218.0
1180,516.0
1181,1087.0
1182,1116.0
1183,1490.0
1184,465.0
1185,969.0
1186,360.0
1187,548.0
1188,1226.0
1189,1777.0
1190,829.0
1191,607.0
1192,989.0
1193,966.0
1194,1575.0
1195,714.0
1196,1355.0
1197,996.0
1198,378.0
1199,1219.0
1200,798.0
1201,507.0
1202,956.0
1203,1540.0
1204,654.0
1205,890.0
1206,1139.0
1207,852.0
1208,1148.0
1209,1849.0
1210,1436.0
1211,618.0
1212,1368.0
1213,1827.0
1214,447.0
1215,1478.0
1216,1136.0
1217,798.0
1218,1097.0
1219,936.0
1220,1316.0
1221,906.0
1222,2100.0
1223,483.0
1224,863.0
1225,1990.0
1226,1358.0
1227,1786.0
1228,1625.0
1229,729.0
1230,1241.0
1231,1249.0
1232,775.0
