Episode,Steps
0,45
1,44
2,43
3,41
4,47
5,42
6,52
7,52
8,48
9,44
10,61
11,46
12,58
13,46
14,56
15,43
16,50
17,48
18,58
19,41
20,52
21,46
22,63
23,51
24,55
25,42
26,43
27,58
28,51
29,54
30,53
31,51
32,41
33,54
34,43
35,42
36,35
37,52
38,54
39,40
40,51
41,45
42,50
43,44
44,37
45,39
46,47
47,35
48,57
49,46
50,44
51,49
52,50
53,53
54,42
55,51
56,39
57,62
58,43
59,53
60,50
61,47
62,59
63,48
64,41
65,45
66,49
67,49
68,47
69,50
70,40
71,58
72,50
73,33
74,50
75,47
76,43
77,59
78,52
79,47
80,38
81,49
82,37
83,41
84,59
85,36
86,51
87,41
88,41
89,49
90,45
91,55
92,39
93,44
94,39
95,46
96,49
97,49
98,45
99,46
100,47
101,51
102,58
103,37
104,42
105,48
106,35
107,44
108,50
109,43
110,50
111,45
112,46
113,46
114,58
115,44
116,49
117,47
118,52
119,62
120,50
121,42
122,53
123,46
124,44
125,60
126,49
127,46
128,54
129,52
130,48
131,51
132,47
133,51
134,40
135,50
136,48
137,40
138,55
139,38
140,50
141,45
142,47
143,38
144,45
145,47
146,46
147,36
148,40
149,36
150,55
151,52
152,54
153,43
154,40
155,42
156,44
157,50
158,50
159,49
160,45
161,51
162,41
163,44
164,51
165,54
166,38
167,54
168,49
169,57
170,59
171,51
172,47
173,56
174,56
175,47
176,43
177,59
178,47
179,44
180,35
181,51
182,50
183,45
184,61
185,48
186,52
187,59
188,44
189,53
190,39
191,47
192,35
193,46
194,47
195,38
196,47
197,51
198,36
199,54
200,46
201,43
202,50
203,46
204,45
205,36
206,53
207,46
208,48
209,44
210,53
211,51
212,42
213,55
214,52
215,44
216,42
217,48
218,49
219,52
220,54
221,52
222,39
223,52
224,47
225,48
226,69
227,44
228,40
229,55
230,40
231,50
232,57
233,38
234,47
235,54
236,51
237,43
238,59
239,37
240,51
241,43
242,49
243,52
244,45
245,50
246,49
247,42
248,60
249,54
250,52
251,55
252,52
253,46
254,51
255,58
256,57
257,41
258,45
259,47
260,45
261,45
262,42
263,47
264,52
265,53
266,50
267,47
268,45
269,52
270,46
271,51
272,54
273,41
274,48
275,40
276,53
277,48
278,45
279,53
280,43
281,47
282,51
283,50
284,50
285,44
286,46
287,51
288,47
289,44
290,43
291,50
292,46
293,66
294,57
295,39
296,43
297,34
298,43
299,44
300,48
301,44
302,55
303,56
304,44
305,55
306,47
307,50
308,56
309,54
310,54
311,49
312,57
313,41
314,43
315,42
316,54
317,42
318,47
319,48
320,47
321,56
322,47
323,61
324,44
325,40
326,58
327,56
328,55
329,57
330,53
331,48
332,50
333,44
334,41
335,45
336,36
337,41
338,52
339,53
340,41
341,49
342,45
343,46
344,50
345,40
346,56
347,44
348,50
349,53
350,41
351,50
352,49
353,51
354,47
355,44
356,48
357,43
358,45
359,43
360,39
361,62
362,45
363,45
364,51
365,50
366,40
367,37
368,53
369,33
370,49
371,48
372,51
373,47
374,42
375,42
376,49
377,58
378,60
379,48
380,55
381,53
382,47
383,51
384,47
385,52
386,52
387,52
388,56
389,50
390,46
391,54
392,52
393,51
394,52
395,56
396,45
397,55
398,53
399,49
400,49
401,49
402,43
403,50
404,47
405,39
406,45
407,49
408,48
409,55
410,51
411,48
412,40
413,51
414,50
415,54
416,58
417,41
418,55
419,54
420,47
421,55
422,61
423,43
424,49
425,38
426,51
427,48
428,45
429,41
430,47
431,55
432,50
433,54
434,66
435,48
436,49
437,59
438,55
439,56
440,47
441,39
442,58
443,40
444,58
445,57
446,56
447,54
448,52
449,52
450,51
451,45
452,57
453,46
454,46
455,49
456,45
457,47
458,52
459,55
460,56
461,58
462,49
463,58
464,49
465,67
466,58
467,48
468,63
469,50
470,54
471,37
472,57
473,58
474,48
475,53
476,66
477,49
478,63
479,48
480,55
481,44
482,52
483,55
484,54
485,45
486,53
487,65
488,48
489,51
490,54
491,52
492,49
493,45
494,53
495,52
496,66
497,60
498,53
499,60
500,49
501,51
502,69
503,45
504,48
505,48
506,65
507,53
508,63
509,48
510,55
511,47
512,58
513,49
514,56
515,58
516,64
517,49
518,55
519,64
520,55
521,51
522,50
523,45
524,58
525,53
526,45
527,54
528,49
529,50
530,53
531,57
532,58
533,45
534,58
535,63
536,48
537,54
538,52
539,55
540,59
541,46
542,44
543,59
544,52
545,58
546,50
547,53
548,48
549,53
550,49
551,62
552,55
553,59
554,72
555,56
556,66
557,44
558,54
559,55
560,59
561,62
562,53
563,55
564,49
565,50
566,53
567,59
568,48
569,51
570,63
571,51
572,55
573,49
574,64
575,56
576,55
577,58
578,60
579,52
580,67
581,58
582,67
583,58
584,59
585,59
586,63
587,58
588,59
589,53
590,55
591,52
592,45
593,62
594,51
595,61
596,49
597,52
598,67
599,59
600,56
601,55
602,39
603,66
604,57
605,62
606,58
607,60
608,65
609,54
610,56
611,52
612,57
613,48
614,63
615,55
616,44
617,54
618,51
619,61
620,54
621,50
622,47
623,66
624,68
625,53
626,46
627,53
628,53
629,58
630,57
631,57
632,54
633,58
634,47
635,51
636,61
637,63
638,54
639,60
640,57
641,54
642,48
643,48
644,55
645,46
646,60
647,54
648,58
649,45
650,56
651,54
652,66
653,45
654,53
655,37
656,64
657,57
658,52
659,52
660,48
661,66
662,54
663,54
664,41
665,72
666,54
667,50
668,56
669,61
670,58
671,59
672,52
673,54
674,62
675,58
676,51
677,60
678,51
679,72
680,51
681,53
682,49
683,55
684,47
685,59
686,58
687,56
688,62
689,67
690,45
691,53
692,62
693,61
694,58
695,60
696,52
697,63
698,47
699,41
700,49
701,51
702,54
703,51
704,52
705,44
706,49
707,62
708,55
709,51
710,56
711,68
712,56
713,55
714,58
715,51
716,62
717,54
718,54
719,63
720,51
721,53
722,58
723,53
724,67
725,46
726,56
727,66
728,66
729,71
730,61
731,56
732,57
733,53
734,65
735,46
736,66
737,42
738,71
739,67
740,49
741,56
742,45
743,59
744,56
745,62
746,45
747,56
748,58
749,55
750,57
751,54
752,50
753,49
754,64
755,66
756,57
757,54
758,58
759,58
760,56
761,64
762,55
763,71
764,51
765,52
766,50
767,56
768,62
769,56
770,64
771,58
772,61
773,61
774,55
775,50
776,58
777,60
778,58
779,70
780,54
781,46
782,60
783,54
784,68
785,49
786,58
787,53
788,67
789,63
790,48
791,60
792,64
793,46
794,59
795,59
796,60
797,72
798,68
799,55
800,62
801,44
802,47
803,49
804,57
805,69
806,57
807,65
808,52
809,54
810,59
811,70
812,55
813,61
814,74
815,59
816,56
817,50
818,61
819,67
820,79
821,51
822,55
823,64
824,53
825,68
826,53
827,46
828,58
829,56
830,57
831,52
832,46
833,48
834,52
835,60
836,58
837,62
838,58
839,69
840,80
841,66
842,59
843,57
844,47
845,60
846,53
847,78
848,60
849,64
850,63
851,57
852,64
853,56
854,50
855,63
856,58
857,76
858,64
859,61
860,69
861,46
862,54
863,61
864,83
865,59
866,55
867,64
868,55
869,67
870,64
871,53
872,68
873,53
874,61
875,56
876,46
877,56
878,51
879,60
880,60
881,60
882,68
883,49
884,67
885,52
886,74
887,43
888,63
889,55
890,65
891,69
892,62
893,58
894,65
895,63
896,66
897,56
898,73
899,62
900,63
901,66
902,55
903,57
904,61
905,52
906,64
907,74
908,66
909,57
910,72
911,60
912,39
913,51
914,69
915,56
916,60
917,59
918,60
919,47
920,59
921,65
922,58
923,69
924,53
925,56
926,60
927,60
928,53
929,53
930,53
931,54
932,48
933,46
934,56
935,54
936,55
937,71
938,52
939,50
940,51
941,48
942,62
943,58
944,52
945,62
946,66
947,56
948,63
949,65
950,60
951,73
952,60
953,60
954,71
955,69
956,55
957,64
958,51
959,52
960,65
961,60
962,78
963,56
964,57
965,48
966,59
967,54
968,48
969,58
970,71
971,59
972,65
973,38
974,58
975,47
976,55
977,81
978,65
979,68
980,47
981,49
982,54
983,51
984,50
985,58
986,46
987,51
988,47
989,55
990,54
991,52
992,53
993,52
994,49
995,59
996,61
997,53
998,49
999,60
1000,67
1001,56
1002,54
1003,45
1004,56
1005,48
1006,53
1007,65
1008,52
1009,33
1010,47
1011,43
1012,46
1013,69
1014,49
1015,56
1016,69
1017,56
1018,54
1019,52
1020,55
1021,57
1022,60
1023,65
1024,55
1025,57
1026,45
1027,50
1028,53
1029,56
1030,69
1031,51
1032,62
1033,57
1034,58
1035,72
1036,51
1037,59
1038,52
1039,74
1040,52
1041,49
1042,64
1043,52
1044,55
1045,48
1046,60
1047,56
1048,74
1049,47
1050,52
1051,49
1052,70
1053,61
1054,65
1055,57
1056,64
1057,65
1058,56
1059,67
1060,65
1061,54
1062,58
1063,58
1064,57
1065,58
1066,59
1067,57
1068,69
1069,53
1070,55
1071,59
1072,64
1073,49
1074,54
1075,56
1076,51
1077,59
1078,49
1079,67
1080,43
1081,67
1082,59
1083,59
1084,61
1085,60
1086,45
1087,51
1088,60
1089,64
1090,58
1091,66
1092,67
1093,66
1094,73
1095,50
1096,46
1097,61
1098,56
1099,64
1100,57
1101,68
1102,66
1103,57
1104,57
1105,66
1106,65
1107,67
1108,66
1109,57
1110,52
1111,66
1112,54
1113,66
1114,61
1115,51
1116,70
1117,74
1118,57
1119,63
1120,54
1121,67
1122,61
1123,57
1124,66
1125,60
1126,61
1127,72
1128,58
1129,52
1130,71
1131,75
1132,66
1133,64
1134,56
1135,55
1136,65
1137,81
1138,41
1139,59
1140,55
1141,43
1142,66
1143,62
1144,57
1145,68
1146,57
1147,68
1148,63
1149,59
1150,71
1151,61
1152,57
1153,70
1154,55
1155,57
1156,43
1157,42
1158,69
1159,61
1160,61
1161,62
1162,49
1163,62
1164,77
1165,54
1166,67
1167,56
1168,63
1169,50
1170,50
1171,64
1172,82
1173,64
1174,63
1175,58
1176,67
1177,75
1178,48
1179,60
1180,59
1181,61
1182,45
1183,54
1184,58
1185,56
1186,54
1187,77
1188,61
1189,51
1190,56
1191,58
1192,56
1193,54
1194,62
1195,47
1196,56
1197,67
1198,51
1199,56
1200,62
1201,57
1202,62
1203,51
1204,62
1205,55
1206,59
1207,55
1208,59
1209,62
1210,61
1211,55
1212,58
1213,54
1214,71
1215,62
1216,67
1217,68
