time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
408,1,0,100,1516.0,,,,,,,,,,
333,2,0,200,3589.0,0.00046717783,0.2,10,0.0,-0.003621662565274164,70648.0609375,-1.3860329985618591,0.00017887353897094727,0.0003,30529.80078125
314,3,0,300,5453.0,0.00034059922,0.2,20,0.0,-0.0028926867475092878,115563.141015625,-1.3854016423225404,0.00041997432708740234,0.0003,55529.984375
304,4,1,400,9514.0,0.0010550749,0.2,30,0.0,-0.007760611272533424,67090.17109375,-1.38456329703331,0.002112746238708496,0.0003,31441.419921875
298,5,1,500,12783.0,0.00027024635,0.2,40,0.0,-0.0014397798120626248,478359.8109375,-1.3822973430156709,0.00031566619873046875,0.0003,347799.625
295,6,2,600,15708.0,1.9772444e-05,0.2,50,0.0,-0.00040651969693499267,297948.56484375,-1.3809806287288666,-0.00026297569274902344,0.0003,130804.1640625
292,7,2,700,19286.0,5.824983e-05,0.2,60,0.0,-0.0013852982832759154,269002.41015625,-1.3806512713432313,-0.0010131597518920898,0.0003,118671.4375
289,8,2,800,22413.0,4.401958e-05,0.2,70,0.0,-0.0008416213713644538,338590.090625,-1.380763339996338,0.0005804300308227539,0.0003,168669.875
287,9,3,900,26916.0,3.4226257e-05,0.2,80,0.0,-0.0006375089212554031,256743.67109375,-1.3798169553279878,0.002100646495819092,0.0003,131131.484375
286,10,3,1000,29059.0,6.826915e-05,0.2,90,0.0,-0.001217827595610288,817233.23125,-1.3791500508785248,0.00040036439895629883,0.0003,423749.09375
285,11,3,1100,33036.0,9.054075e-05,0.2,100,0.0,-0.0010756179482996231,104514.086328125,-1.379637461900711,-0.0029164552688598633,0.0003,62062.1640625
283,12,4,1200,37083.0,5.8792117e-05,0.2,110,0.0,-0.001257804847591615,361247.8015625,-1.380188339948654,0.0001837611198425293,0.0003,186454.578125
282,13,4,1300,40263.0,0.00015037062,0.2,120,0.0,-0.002227524932459346,500159.7640625,-1.3775816798210143,0.0024329423904418945,0.0003,236685.953125
282,14,4,1400,42424.0,0.00012980535,0.2,130,0.0,-0.0011299051271635107,325048.20390625,-1.376049667596817,-0.0013443231582641602,0.0003,176667.859375
281,15,5,1500,46183.0,0.000117669195,0.2,140,0.0,-0.0016770426562288776,145859.7,-1.3762710094451904,-0.00021064281463623047,0.0003,53565.79296875
281,16,5,1600,49736.0,6.3148276e-05,0.2,150,0.0,-0.0008045458591368515,357399.8953125,-1.3781799852848053,4.3332576751708984e-05,0.0003,141554.96875
281,17,6,1700,53128.0,3.095939e-05,0.2,160,0.0,-0.0006757123787792807,349966.82421875,-1.3776071965694427,0.0015859603881835938,0.0003,135814.765625
281,18,6,1800,56253.0,2.886836e-05,0.2,170,0.0,-0.0006197164089826402,215654.61171875,-1.3771059155464171,0.0024377107620239258,0.0003,128218.390625
280,19,6,1900,59691.0,0.00022322411,0.2,180,0.0,-0.002380801094113849,220113.18203125,-1.3778993368148804,-0.0006372928619384766,0.0003,117064.7421875
280,20,7,2000,62365.0,0.00011903063,0.2,190,0.0,-0.0019403477264859248,356165.42109375,-1.3794239223003388,-9.918212890625e-05,0.0003,198355.0625
280,21,7,2100,65479.0,0.0001750485,0.2,200,0.0,-0.0019573666721043994,160692.026953125,-1.3757735192775726,-0.0004125833511352539,0.0003,71870.84375
280,22,7,2200,68336.0,0.00012849623,0.2,210,0.0,-0.001075748090806883,286335.8609375,-1.3759179830551147,-1.8835067749023438e-05,0.0003,158086.703125
280,23,8,2300,71548.0,8.462416e-05,0.2,220,0.0,-0.001497019117960008,220022.49453125,-1.3765706300735474,0.0019310712814331055,0.0003,103508.8203125
280,24,8,2400,75201.0,0.00011640104,0.2,230,0.0,-0.002017067518318072,295153.73125,-1.3748270511627196,0.001320481300354004,0.0003,123885.078125
280,25,8,2500,77768.0,0.0001364326,0.2,240,0.0,-0.002083313394814468,341504.0984375,-1.3745933949947358,0.0004265904426574707,0.0003,178077.5
280,26,9,2600,81186.0,3.5780275e-05,0.2,250,0.0,-0.00042420445497555194,154412.259375,-1.3763082861900329,0.00032067298889160156,0.0003,69875.6015625
280,27,9,2700,82047.0,5.3973556e-05,0.2,260,0.0,-0.0007856373233153136,293317.7296875,-1.373761647939682,0.0004940629005432129,0.0003,159536.28125
280,28,9,2800,85975.0,0.00010249142,0.2,270,0.0,-0.0011577158518775831,13122.209716796875,-1.3726319074630737,-0.0025180578231811523,0.0003,5481.60009765625
279,29,10,2900,89320.0,0.00014939325,0.2,280,0.0,-0.0014333207859635877,482977.41875,-1.3681258857250214,-4.780292510986328e-05,0.0003,207301.3125
279,30,10,3000,92661.0,6.39326e-05,0.2,290,0.0,-0.0014977474258728307,400066.4625,-1.370353764295578,0.00013124942779541016,0.0003,208358.828125
279,31,11,3100,97671.0,9.23084e-05,0.2,300,0.0,-0.0011671389505863773,229325.2203125,-1.3671601593494416,0.0001036524772644043,0.0003,111525.1171875
279,32,11,3200,100611.0,1.07258875e-05,0.2,310,0.0,0.0004115043517231243,692580.95,-1.370658129453659,0.00027889013290405273,0.0003,407015.40625
279,33,11,3300,103133.0,0.0001204318,0.2,320,0.0,-0.001254007516308775,202519.93046875,-1.3676457583904267,-0.00017940998077392578,0.0003,113418.3046875
279,34,12,3400,106659.0,9.89509e-05,0.2,330,0.0,-0.0016125697258303263,191925.9421875,-1.3717877626419068,-6.699562072753906e-05,0.0003,87015.078125
279,35,12,3500,109134.0,6.489306e-05,0.2,340,0.0,-0.0006746369672328001,308828.103125,-1.3732684195041656,9.137392044067383e-05,0.0003,156679.59375
279,36,12,3600,112000.0,0.00019269003,0.2,350,0.0,-0.0021277251224091744,147712.490234375,-1.371794730424881,0.0002079010009765625,0.0003,80056.6875
279,37,13,3700,116452.0,0.00012913616,0.2,360,0.0,-0.0023407049739034846,250773.91796875,-1.369667249917984,0.00025022029876708984,0.0003,134226.796875
279,38,13,3800,118657.0,0.00014865058,0.2,370,0.0,-0.001605015259974607,724431.0015625,-1.3711566627025604,5.0067901611328125e-05,0.0003,243250.203125
279,39,13,3900,122745.0,8.313249e-05,0.2,380,0.0,-0.0016507909607753391,143774.667578125,-1.3720251202583313,-9.894371032714844e-05,0.0003,70644.515625
279,40,14,4000,125791.0,6.3543106e-05,0.2,390,0.0,-0.0008574827996199019,380722.1953125,-1.3688781261444092,0.00014144182205200195,0.0003,185611.28125
279,41,14,4100,129024.0,3.1387175e-05,0.2,400,0.0,-0.0005088534780043119,250465.8046875,-1.367120736837387,0.0004996061325073242,0.0003,113203.8515625
278,42,15,4200,132408.0,4.7325208e-05,0.2,410,0.0,-0.0010685687011573464,459185.7046875,-1.3676940858364106,0.000329434871673584,0.0003,279795.46875
