time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
397,1,0,100,1337.0,,,,,,,,,,
314,2,0,200,3351.0,0.0009428736,0.2,10.0,0.0,-0.00731902458283,53882.4537109375,-1.945495492219925,-0.0015231370925903,0.0003,26085.916015625
285,3,1,300,3790.0,0.00024102934,0.2,20.0,0.0,-0.0017085008006688,257589.521875,-1.9444146811962129,-3.349781036376953e-05,0.0003,145190.515625
278,4,1,400,2557.0,0.0002745338,0.2,30.0,0.0,-0.0017983500598347,419202.76875,-1.944770449399948,0.0003391504287719,0.0003,218491.515625
268,5,1,500,5765.0,0.000120043915,0.2,40.0,0.0,-0.0014276589287533,154301.2359375,-1.9448276042938235,0.000993013381958,0.0003,64794.671875
266,6,2,600,4022.0,0.000116007766,0.2,50.0,0.0,-0.0010609075978209,768410.4875,-1.944912040233612,-0.0004390478134155,0.0003,397213.4375
264,7,2,700,2869.0,0.00036226033,0.2,60.0,0.0,-0.0040072599037102,455229.7046875,-1.9444625079631803,0.0015270113945007,0.0003,155222.234375
264,8,3,800,1919.0,0.000234329,0.2,70.0,0.0,-0.0023008233923974,255666.09140625,-1.9436647057533265,0.0043161511421203,0.0003,132269.203125
259,9,3,900,6362.0,0.00040253226,0.2,80.0,0.0,-0.0035014831912121,100628.371875,-1.943647825717926,0.0024267435073852,0.0003,48603.6953125
258,10,3,1000,7485.0,0.00013922181,0.2,90.0,0.0,-0.0012225779479194,1454164.64375,-1.944493854045868,-0.0010591745376586,0.0003,574954.75
258,11,4,1100,2722.0,0.00015765309,0.2,100.0,0.0,-0.0027523447854036,1972043.0375,-1.9444199323654172,1.5497207641601562e-05,0.0003,747803.0
256,12,4,1200,5495.0,0.00041965334,0.2,110.0,0.0,-0.0030769086970394,188263.66796875,-1.944085454940796,-0.0009233951568603,0.0003,79384.6171875
256,13,5,1300,1912.0,0.00014471749,0.2,120.0,0.0,-0.0010070889258713,982442.5625,-1.944285023212433,-0.0005455017089843,0.0003,535515.5625
255,14,5,1400,4937.0,0.00062193343,0.2,130.0,0.0,-0.0049053527760861,123108.7546875,-1.9442466497421265,0.0002042055130004,0.0003,48908.046875
254,15,5,1500,4615.0,0.000111131725,0.2,140.0,0.0,-0.0004933821018312,534648.0671875,-1.9431973159313205,-4.780292510986328e-05,0.0003,320114.375
254,16,6,1600,5546.0,0.00015842708,0.2,150.0,0.0,-0.0020866990780632,556849.09375,-1.943543648719788,0.0004632472991943,0.0003,206128.953125
255,17,6,1700,3074.0,9.063042e-05,0.2,160.0,0.0,-0.001191332682356,712339.321875,-1.9440382480621337,0.0001739263534545,0.0003,309656.0
256,18,7,1800,1919.0,0.00044602633,0.2,170.0,0.0,-0.0041798688562266,226298.11328125,-1.9432601809501648,-0.000589370727539,0.0003,130361.09375
